key,enabled,identity,password,username
user-account-auditor-11,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor11,auditor11
user-account-auditor-12,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor12,auditor12
user-account-auditor-13,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor13,auditor13
user-account-auditor-14,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor14,auditor14
user-account-auditor-15,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor15,auditor15
user-account-auditor-16,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor16,auditor16
user-account-auditor-17,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor17,auditor17
user-account-auditor-18,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor18,auditor18
user-account-auditor-19,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor19,auditor19
user-account-auditor-20,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor20,auditor20
user-account-auditor-21,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor21,auditor21
user-account-auditor-22,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor22,auditor22
user-account-auditor-23,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor23,auditor23
user-account-auditor-24,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor24,auditor24
user-account-auditor-25,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor25,auditor25
user-account-auditor-26,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor26,auditor26
user-account-auditor-27,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor27,auditor27
user-account-auditor-28,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor28,auditor28
user-account-auditor-29,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor29,auditor29
user-account-auditor-30,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor30,auditor30
user-account-auditor-31,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor31,auditor31
user-account-auditor-32,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",auditor32,auditor32
user-account-spokesperson-01,true,"UserIdentity{name: 'Sandra', surname: 'Spokesperson', email: 'sandra@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: 'Nuria', surname: 'Pòrtavotz', email: 'nuria@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: 'Juanan', surname: 'דובר', email: 'juanan@acme.com'}",spokesperson3,spokesperson3
user-account-fundraiser-01,true,"UserIdentity{name: 'Juan', surname: 'Fundraiser', email: 'juan@acme.com'}",fundraiser1, fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Antonio', surname: 'Fundraiser', email: 'antonio@acme.com'}",fundraiser2, fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Sandra', surname: 'Fundraiser', email: 'sandra@acme.com'}",fundraiser3, fundraiser3
user-account-inventor-01,true,"UserIdentity{name: 'Elena', surname: 'Torres', email: 'elena@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Hiro', surname: '山本', email: 'hiro@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Omar', surname: 'الحكيم', email: 'omar@acme.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Lucía', surname: 'Fernández', email: 'lucia@acme.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Noah', surname: 'Müller', email: 'noah@acme.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Anya', surname: 'Кузнецова', email: 'anya@acme.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Wei', surname: '王', email: 'wei@acme.com'}",inventor7,inventor7
user-account-inventor-08,true,"UserIdentity{name: 'Sara', surname: 'Benítez', email: 'sara@acme.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Lucas', surname: 'Dubois', email: 'lucas@acme.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'Fatima', surname: 'الزهرة', email: 'fatima@acme.com'}",inventor10,inventor10
user-account-inventor-11,true,"UserIdentity{name: 'Erik', surname: 'Ångström', email: 'erik@acme.com'}",inventor11,inventor11
user-account-inventor-12,true,"UserIdentity{name: 'Sofía', surname: 'Nakamura', email: 'sofia@acme.com'}",inventor12,inventor12
user-account-inventor-13,true,"UserIdentity{name: 'Ivan', surname: 'Petrov', email: 'ivan@acme.com'}",inventor13,inventor13
user-account-inventor-14,true,"UserIdentity{name: 'Marta', surname: 'López', email: 'marta@acme.com'}",inventor14,inventor14

